DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Hydro Pumped Storage	0.0		2022-03-01 03:01:05
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Fossil Gas	72.16		2022-03-01 03:01:05
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Solar	0.01		2022-03-01 03:01:05
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Biomass	8.87		2022-03-01 03:01:06
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Hydro Run-of-river and poundage	108.6		2022-03-01 03:01:06
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	Wind Onshore	1.21		2022-03-01 03:01:06
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Hydro Pumped Storage	0.0		2022-03-01 03:01:07
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Hydro Pumped Storage	0.0		2022-03-01 03:01:07
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Hydro Run-of-river and poundage	108.6		2022-03-01 03:01:07
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Biomass	8.87		2022-03-01 03:01:07
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Waste	11.86		2022-03-01 03:01:08
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Biomass	8.87		2022-03-01 03:01:08
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Waste	11.86		2022-03-01 03:01:08
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Fossil Oil	0.0		2022-03-01 03:01:09
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Fossil Oil	0.0		2022-03-01 03:01:09
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Nuclear	692.64		2022-03-01 03:01:09
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Nuclear	692.64		2022-03-01 03:01:09
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Hydro Run-of-river and poundage	108.6		2022-03-01 03:01:10
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Fossil Brown coal/Lignite	651.53		2022-03-01 03:01:10
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Wind Onshore	1.21		2022-03-01 03:01:10
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Solar	0.01		2022-03-01 03:01:11
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Solar	0.01		2022-03-01 03:01:11
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Fossil Brown coal/Lignite	651.53		2022-03-01 03:01:11
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Fossil Gas	72.16		2022-03-01 03:01:11
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	BZN	SI BZN	SI	Fossil Gas	72.16		2022-03-01 03:01:11
2022-03-01 00:00:00.000	PT60M	10YSI-ELES-----O	CTY	SI CTY	SI	Wind Onshore	1.21		2022-03-01 03:01:12
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTA	SE CTA	SE	Wind Onshore	6978.49		2022-03-01 03:01:14
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	Fossil Gas	0.02		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	Other	18.82		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	Fossil Gas	0.0		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A44P	BZN	SE1 BZN	SE1	Hydro Water Reservoir	2207.41		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	Nuclear	6602.0		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	Other	609.29		2022-03-01 03:01:46
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	Hydro Water Reservoir	913.75		2022-03-01 03:01:47
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	Hydro Water Reservoir	3794.93		2022-03-01 03:01:47
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A47J	BZN	SE4 BZN	SE4	Fossil Gas	0.0		2022-03-01 03:01:49
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A47J	BZN	SE4 BZN	SE4	Other	178.74		2022-03-01 03:01:49
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A47J	BZN	SE4 BZN	SE4	Hydro Water Reservoir	273.53		2022-03-01 03:01:50
2022-03-01 00:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	Other	106.3		2022-03-01 03:01:50
